| table_schema | table_name                      | column_name                   | data_type                   | is_nullable | column_default                                             |
| public       | faiss_templates                 | id                            | integer                     | NO          | nextval('faiss_templates_id_seq'::regclass)                |
| public       | faiss_templates                 | template_id                   | character varying           | NO          | null                                                       |
| public       | faiss_templates                 | tier                          | character varying           | NO          | null                                                       |
| public       | faiss_templates                 | hit_rate                      | numeric                     | YES         | 0.0                                                        |
| public       | faiss_templates                 | success_rate                  | numeric                     | YES         | 0.0                                                        |
| public       | faiss_templates                 | embedding_vector              | USER-DEFINED                | YES         | null                                                       |
| public       | faiss_templates                 | quality_score                 | numeric                     | YES         | 0.0                                                        |
| public       | faiss_templates                 | difficulty_score              | numeric                     | YES         | 0.0                                                        |
| public       | faiss_templates                 | is_active                     | boolean                     | YES         | true                                                       |
| public       | faiss_templates                 | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | faiss_templates                 | last_accessed                 | timestamp with time zone    | YES         | now()                                                      |
| public       | fgc_encoder_logs                | id                            | integer                     | NO          | nextval('fgc_encoder_logs_id_seq'::regclass)               |
| public       | fgc_encoder_logs                | model_type                    | character varying           | NO          | null                                                       |
| public       | fgc_encoder_logs                | encoding_latency              | numeric                     | YES         | null                                                       |
| public       | fgc_encoder_logs                | embedding_dimension           | integer                     | YES         | null                                                       |
| public       | fgc_encoder_logs                | accuracy_score                | numeric                     | YES         | null                                                       |
| public       | fgc_encoder_logs                | quality_score                 | numeric                     | YES         | null                                                       |
| public       | fgc_encoder_logs                | test_image_path               | character varying           | YES         | null                                                       |
| public       | fgc_encoder_logs                | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | image_metadata                  | id                            | uuid                        | NO          | gen_random_uuid()                                          |
| public       | image_metadata                  | original_url                  | text                        | NO          | null                                                       |
| public       | image_metadata                  | supabase_url                  | text                        | NO          | null                                                       |
| public       | image_metadata                  | file_path                     | text                        | NO          | null                                                       |
| public       | image_metadata                  | file_name                     | text                        | NO          | null                                                       |
| public       | image_metadata                  | part_num                      | text                        | NO          | null                                                       |
| public       | image_metadata                  | color_id                      | integer                     | NO          | null                                                       |
| public       | image_metadata                  | set_num                       | text                        | YES         | null                                                       |
| public       | image_metadata                  | created_at                    | timestamp without time zone | YES         | now()                                                      |
| public       | index_statistics                | id                            | uuid                        | NO          | gen_random_uuid()                                          |
| public       | index_statistics                | index_size_bytes              | bigint                      | YES         | 0                                                          |
| public       | index_statistics                | total_templates               | integer                     | YES         | 0                                                          |
| public       | index_statistics                | l1_templates                  | integer                     | YES         | 0                                                          |
| public       | index_statistics                | l2_templates                  | integer                     | YES         | 0                                                          |
| public       | index_statistics                | last_rebuild_at               | timestamp with time zone    | YES         | null                                                       |
| public       | index_statistics                | rebuild_duration_ms           | integer                     | YES         | 0                                                          |
| public       | index_statistics                | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | inference_results_detailed      | id                            | bigint                      | NO          | nextval('inference_results_detailed_id_seq'::regclass)     |
| public       | inference_results_detailed      | pair_uid                      | text                        | NO          | null                                                       |
| public       | inference_results_detailed      | part_id                       | text                        | NO          | null                                                       |
| public       | inference_results_detailed      | model_tag                     | text                        | NO          | null                                                       |
| public       | inference_results_detailed      | model_version                 | text                        | YES         | null                                                       |
| public       | inference_results_detailed      | inference_time_ms             | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | preprocessing_time_ms         | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | postprocessing_time_ms        | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | total_latency_ms              | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | confidence                    | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | iou_with_ground_truth         | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | bbox_error_px                 | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | classification_accuracy       | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | device_type                   | text                        | YES         | 'unknown'::text                                            |
| public       | inference_results_detailed      | gpu_memory_used_mb            | integer                     | YES         | null                                                       |
| public       | inference_results_detailed      | cpu_usage_percent             | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | memory_usage_mb               | numeric                     | YES         | null                                                       |
| public       | inference_results_detailed      | input_resolution              | text                        | YES         | null                                                       |
| public       | inference_results_detailed      | output_bbox_count             | integer                     | YES         | null                                                       |
| public       | inference_results_detailed      | detected_classes              | ARRAY                       | YES         | null                                                       |
| public       | inference_results_detailed      | created_at                    | timestamp with time zone    | YES         | now()                                                      |
| public       | inventory_items                 | id                            | integer                     | NO          | nextval('inventory_items_id_seq'::regclass)                |
